id,scene,view_id,type,scale,sigma,spp,width,height,filename,path
scene1_0_GT,scene1,0,GT,-,-,-,1024,1024,scene1_000.png,data\scene1\GT\scene1_000.png
scene1_0_LR,scene1,0,LR,x4,-,-,256,256,scene1_000.png,data\scene1\LR_x4\scene1_000.png
scene1_0_GN_10,scene1,0,GN,-,10,-,1024,1024,scene1_000.png,data\scene1\Noise_gaussian_10\scene1_000.png
scene1_0_GN_25,scene1,0,GN,-,25,-,1024,1024,scene1_000.png,data\scene1\Noise_gaussian_25\scene1_000.png
scene1_0_RN32,scene1,0,RN,-,-,32,1024,1024,scene1_000.png,data\scene1\Noise_render_32spp\scene1_000.png
scene1_1_GT,scene1,1,GT,-,-,-,1024,1024,scene1_001.png,data\scene1\GT\scene1_001.png
scene1_1_LR,scene1,1,LR,x4,-,-,256,256,scene1_001.png,data\scene1\LR_x4\scene1_001.png
scene1_1_GN_10,scene1,1,GN,-,10,-,1024,1024,scene1_001.png,data\scene1\Noise_gaussian_10\scene1_001.png
scene1_1_GN_25,scene1,1,GN,-,25,-,1024,1024,scene1_001.png,data\scene1\Noise_gaussian_25\scene1_001.png
scene1_1_RN32,scene1,1,RN,-,-,32,1024,1024,scene1_001.png,data\scene1\Noise_render_32spp\scene1_001.png
scene1_2_GT,scene1,2,GT,-,-,-,1024,1024,scene1_002.png,data\scene1\GT\scene1_002.png
scene1_2_LR,scene1,2,LR,x4,-,-,256,256,scene1_002.png,data\scene1\LR_x4\scene1_002.png
scene1_2_GN_10,scene1,2,GN,-,10,-,1024,1024,scene1_002.png,data\scene1\Noise_gaussian_10\scene1_002.png
scene1_2_GN_25,scene1,2,GN,-,25,-,1024,1024,scene1_002.png,data\scene1\Noise_gaussian_25\scene1_002.png
scene1_2_RN32,scene1,2,RN,-,-,32,1024,1024,scene1_002.png,data\scene1\Noise_render_32spp\scene1_002.png
scene1_8_GT,scene1,8,GT,-,-,-,1024,1024,scene1_008.png,data\scene1\GT\scene1_008.png
scene1_8_LR,scene1,8,LR,x4,-,-,256,256,scene1_008.png,data\scene1\LR_x4\scene1_008.png
scene1_8_GN_10,scene1,8,GN,-,10,-,1024,1024,scene1_008.png,data\scene1\Noise_gaussian_10\scene1_008.png
scene1_8_GN_25,scene1,8,GN,-,25,-,1024,1024,scene1_008.png,data\scene1\Noise_gaussian_25\scene1_008.png
scene1_8_RN32,scene1,8,RN,-,-,32,1024,1024,scene1_008.png,data\scene1\Noise_render_32spp\scene1_008.png
scene1_9_GT,scene1,9,GT,-,-,-,1024,1024,scene1_009.png,data\scene1\GT\scene1_009.png
scene1_9_LR,scene1,9,LR,x4,-,-,256,256,scene1_009.png,data\scene1\LR_x4\scene1_009.png
scene1_9_GN_10,scene1,9,GN,-,10,-,1024,1024,scene1_009.png,data\scene1\Noise_gaussian_10\scene1_009.png
scene1_9_GN_25,scene1,9,GN,-,25,-,1024,1024,scene1_009.png,data\scene1\Noise_gaussian_25\scene1_009.png
scene1_9_RN32,scene1,9,RN,-,-,32,1024,1024,scene1_009.png,data\scene1\Noise_render_32spp\scene1_009.png
scene1_10_GT,scene1,10,GT,-,-,-,1024,1024,scene1_010.png,data\scene1\GT\scene1_010.png
scene1_10_LR,scene1,10,LR,x4,-,-,256,256,scene1_010.png,data\scene1\LR_x4\scene1_010.png
scene1_10_GN_10,scene1,10,GN,-,10,-,1024,1024,scene1_010.png,data\scene1\Noise_gaussian_10\scene1_010.png
scene1_10_GN_25,scene1,10,GN,-,25,-,1024,1024,scene1_010.png,data\scene1\Noise_gaussian_25\scene1_010.png
scene1_10_RN32,scene1,10,RN,-,-,32,1024,1024,scene1_010.png,data\scene1\Noise_render_32spp\scene1_010.png
scene1_11_GT,scene1,11,GT,-,-,-,1024,1024,scene1_011.png,data\scene1\GT\scene1_011.png
scene1_11_LR,scene1,11,LR,x4,-,-,256,256,scene1_011.png,data\scene1\LR_x4\scene1_011.png
scene1_11_GN_10,scene1,11,GN,-,10,-,1024,1024,scene1_011.png,data\scene1\Noise_gaussian_10\scene1_011.png
scene1_11_GN_25,scene1,11,GN,-,25,-,1024,1024,scene1_011.png,data\scene1\Noise_gaussian_25\scene1_011.png
scene1_11_RN32,scene1,11,RN,-,-,32,1024,1024,scene1_011.png,data\scene1\Noise_render_32spp\scene1_011.png
scene1_12_GT,scene1,12,GT,-,-,-,1024,1024,scene1_012.png,data\scene1\GT\scene1_012.png
scene1_12_LR,scene1,12,LR,x4,-,-,256,256,scene1_012.png,data\scene1\LR_x4\scene1_012.png
