id,filename,scene,view_id,input_type,scale,sigma,spp,model,task,psnr,ssim
scene1_0_cbm3d_gn10,scene1_000_CBM3D.png,scene1,0,GN,-,10,-,cbm3d,DN,33.586,0.922
scene1_0_ffdnet_gn10,scene1_000_FFDNet_denoised.png,scene1,0,GN,-,10,-,ffdnet,DN,35.877,0.947
scene1_12_cbm3d_gn10,scene1_012_CBM3D.png,scene1,12,GN,-,10,-,cbm3d,DN,33.812,0.911
scene1_12_ffdnet_gn10,scene1_012_FFDNet_denoised.png,scene1,12,GN,-,10,-,ffdnet,DN,35.914,0.938
scene1_0_cbm3d_gn25,scene1_000_CBM3D.png,scene1,0,GN,-,25,-,cbm3d,DN,29.185,0.832
scene1_0_ffdnet_gn25,scene1_000_FFDNet_denoised.png,scene1,0,GN,-,25,-,ffdnet,DN,31.263,0.883
scene1_0_cbm3d_rn32,scene1_000_CBM3D.png,scene1,0,RN,-,-,32,cbm3d,DN,28.961,0.818
scene1_0_ffdnet_rn32,scene1_000_FFDNet_denoised.png,scene1,0,RN,-,-,32,ffdnet,DN,5.017,0.177
scene1_1_cbm3d_gn10,scene1_001_CBM3D.png,scene1,1,GN,-,10,-,cbm3d,DN,33.824,0.919
scene1_1_ffdnet_gn10,scene1_001_FFDNet_denoised.png,scene1,1,GN,-,10,-,ffdnet,DN,36.104,0.945
scene1_1_cbm3d_gn25,scene1_001_CBM3D.png,scene1,1,GN,-,25,-,cbm3d,DN,29.51,0.834
scene1_1_ffdnet_gn25,scene1_001_FFDNet_denoised.png,scene1,1,GN,-,25,-,ffdnet,DN,31.563,0.883
scene1_12_cbm3d_gn25,scene1_012_CBM3D.png,scene1,12,GN,-,25,-,cbm3d,DN,29.64,0.819
scene1_12_ffdnet_gn25,scene1_012_FFDNet_denoised.png,scene1,12,GN,-,25,-,ffdnet,DN,31.544,0.871
scene1_1_cbm3d_rn32,scene1_001_CBM3D.png,scene1,1,RN,-,-,32,cbm3d,DN,29.324,0.823
scene1_1_ffdnet_rn32,scene1_001_FFDNet_denoised.png,scene1,1,RN,-,-,32,ffdnet,DN,4.997,0.187
scene1_2_cbm3d_gn10,scene1_002_CBM3D.png,scene1,2,GN,-,10,-,cbm3d,DN,34.161,0.917
scene1_2_ffdnet_gn10,scene1_002_FFDNet_denoised.png,scene1,2,GN,-,10,-,ffdnet,DN,36.416,0.943
scene1_2_cbm3d_gn25,scene1_002_CBM3D.png,scene1,2,GN,-,25,-,cbm3d,DN,29.912,0.832
scene1_2_ffdnet_gn25,scene1_002_FFDNet_denoised.png,scene1,2,GN,-,25,-,ffdnet,DN,31.931,0.879
scene1_2_cbm3d_rn32,scene1_002_CBM3D.png,scene1,2,RN,-,-,32,cbm3d,DN,29.747,0.824
scene1_2_ffdnet_rn32,scene1_002_FFDNet_denoised.png,scene1,2,RN,-,-,32,ffdnet,DN,4.991,0.202
scene1_12_cbm3d_rn32,scene1_012_CBM3D.png,scene1,12,RN,-,-,32,cbm3d,DN,29.379,0.81
scene1_12_ffdnet_rn32,scene1_012_FFDNet_denoised.png,scene1,12,RN,-,-,32,ffdnet,DN,4.309,0.157
scene1_8_cbm3d_gn10,scene1_008_CBM3D.png,scene1,8,GN,-,10,-,cbm3d,DN,34.785,0.901
scene1_8_ffdnet_gn10,scene1_008_FFDNet_denoised.png,scene1,8,GN,-,10,-,ffdnet,DN,36.741,0.921
scene1_8_cbm3d_gn25,scene1_008_CBM3D.png,scene1,8,GN,-,25,-,cbm3d,DN,30.499,0.811
scene1_8_ffdnet_gn25,scene1_008_FFDNet_denoised.png,scene1,8,GN,-,25,-,ffdnet,DN,32.261,0.855
scene1_8_cbm3d_rn32,scene1_008_CBM3D.png,scene1,8,RN,-,-,32,cbm3d,DN,30.6,0.833
scene1_8_ffdnet_rn32,scene1_008_FFDNet_denoised.png,scene1,8,RN,-,-,32,ffdnet,DN,4.241,0.191
scene1_9_cbm3d_gn10,scene1_009_CBM3D.png,scene1,9,GN,-,10,-,cbm3d,DN,34.523,0.912
scene1_9_ffdnet_gn10,scene1_009_FFDNet_denoised.png,scene1,9,GN,-,10,-,ffdnet,DN,36.492,0.935
scene1_13_cbm3d_gn10,scene1_013_CBM3D.png,scene1,13,GN,-,10,-,cbm3d,DN,33.602,0.913
scene1_13_ffdnet_gn10,scene1_013_FFDNet_denoised.png,scene1,13,GN,-,10,-,ffdnet,DN,35.722,0.939
scene1_9_cbm3d_gn25,scene1_009_CBM3D.png,scene1,9,GN,-,25,-,cbm3d,DN,30.451,0.827
scene1_9_ffdnet_gn25,scene1_009_FFDNet_denoised.png,scene1,9,GN,-,25,-,ffdnet,DN,32.322,0.873
scene1_9_cbm3d_rn32,scene1_009_CBM3D.png,scene1,9,RN,-,-,32,cbm3d,DN,30.271,0.819
scene1_9_ffdnet_rn32,scene1_009_FFDNet_denoised.png,scene1,9,RN,-,-,32,ffdnet,DN,3.827,0.16
scene1_10_cbm3d_gn10,scene1_010_CBM3D.png,scene1,10,GN,-,10,-,cbm3d,DN,34.244,0.911
scene1_10_ffdnet_gn10,scene1_010_FFDNet_denoised.png,scene1,10,GN,-,10,-,ffdnet,DN,36.226,0.935
scene1_10_cbm3d_gn25,scene1_010_CBM3D.png,scene1,10,GN,-,25,-,cbm3d,DN,30.127,0.821
scene1_10_ffdnet_gn25,scene1_010_FFDNet_denoised.png,scene1,10,GN,-,25,-,ffdnet,DN,31.961,0.869
scene1_13_cbm3d_gn25,scene1_013_CBM3D.png,scene1,13,GN,-,25,-,cbm3d,DN,29.365,0.819
scene1_13_ffdnet_gn25,scene1_013_FFDNet_denoised.png,scene1,13,GN,-,25,-,ffdnet,DN,31.3,0.872
scene1_10_cbm3d_rn32,scene1_010_CBM3D.png,scene1,10,RN,-,-,32,cbm3d,DN,29.916,0.814
scene1_10_ffdnet_rn32,scene1_010_FFDNet_denoised.png,scene1,10,RN,-,-,32,ffdnet,DN,3.897,0.156
scene1_11_cbm3d_gn10,scene1_011_CBM3D.png,scene1,11,GN,-,10,-,cbm3d,DN,33.973,0.911
scene1_11_ffdnet_gn10,scene1_011_FFDNet_denoised.png,scene1,11,GN,-,10,-,ffdnet,DN,36.017,0.936
scene1_11_cbm3d_gn25,scene1_011_CBM3D.png,scene1,11,GN,-,25,-,cbm3d,DN,29.831,0.819
scene1_11_ffdnet_gn25,scene1_011_FFDNet_denoised.png,scene1,11,GN,-,25,-,ffdnet,DN,31.721,0.87
scene1_11_cbm3d_rn32,scene1_011_CBM3D.png,scene1,11,RN,-,-,32,cbm3d,DN,29.61,0.811
scene1_11_ffdnet_rn32,scene1_011_FFDNet_denoised.png,scene1,11,RN,-,-,32,ffdnet,DN,4.147,0.156
scene1_13_cbm3d_rn32,scene1_013_CBM3D.png,scene1,13,RN,-,-,32,cbm3d,DN,29.015,0.805
scene1_13_ffdnet_rn32,scene1_013_FFDNet_denoised.png,scene1,13,RN,-,-,32,ffdnet,DN,4.333,0.153
scene1_12_cbm3d_gn10,scene1_012_CBM3D.png,scene1,12,GN,-,10,-,cbm3d,DN,33.812,0.911
scene1_12_ffdnet_gn10,scene1_012_FFDNet_denoised.png,scene1,12,GN,-,10,-,ffdnet,DN,35.914,0.938
scene1_12_cbm3d_gn25,scene1_012_CBM3D.png,scene1,12,GN,-,25,-,cbm3d,DN,29.64,0.819
scene1_12_ffdnet_gn25,scene1_012_FFDNet_denoised.png,scene1,12,GN,-,25,-,ffdnet,DN,31.544,0.871
scene1_12_cbm3d_rn32,scene1_012_CBM3D.png,scene1,12,RN,-,-,32,cbm3d,DN,29.379,0.81
scene1_12_ffdnet_rn32,scene1_012_FFDNet_denoised.png,scene1,12,RN,-,-,32,ffdnet,DN,4.309,0.157
scene1_13_cbm3d_gn10,scene1_013_CBM3D.png,scene1,13,GN,-,10,-,cbm3d,DN,33.602,0.913
scene1_13_ffdnet_gn10,scene1_013_FFDNet_denoised.png,scene1,13,GN,-,10,-,ffdnet,DN,35.722,0.939
scene1_14_cbm3d_gn10,scene1_014_CBM3D.png,scene1,14,GN,-,10,-,cbm3d,DN,33.427,0.916
scene1_14_ffdnet_gn10,scene1_014_FFDNet_denoised.png,scene1,14,GN,-,10,-,ffdnet,DN,35.578,0.942
scene1_13_cbm3d_gn25,scene1_013_CBM3D.png,scene1,13,GN,-,25,-,cbm3d,DN,29.365,0.819
scene1_13_ffdnet_gn25,scene1_013_FFDNet_denoised.png,scene1,13,GN,-,25,-,ffdnet,DN,31.3,0.872
scene1_13_cbm3d_rn32,scene1_013_CBM3D.png,scene1,13,RN,-,-,32,cbm3d,DN,29.015,0.805
scene1_13_ffdnet_rn32,scene1_013_FFDNet_denoised.png,scene1,13,RN,-,-,32,ffdnet,DN,4.333,0.153
scene1_14_cbm3d_gn10,scene1_014_CBM3D.png,scene1,14,GN,-,10,-,cbm3d,DN,33.427,0.916
scene1_14_ffdnet_gn10,scene1_014_FFDNet_denoised.png,scene1,14,GN,-,10,-,ffdnet,DN,35.578,0.942
scene1_14_cbm3d_gn25,scene1_014_CBM3D.png,scene1,14,GN,-,25,-,cbm3d,DN,29.069,0.82
scene1_14_ffdnet_gn25,scene1_014_FFDNet_denoised.png,scene1,14,GN,-,25,-,ffdnet,DN,31.075,0.875
scene1_14_cbm3d_gn25,scene1_014_CBM3D.png,scene1,14,GN,-,25,-,cbm3d,DN,29.069,0.82
scene1_14_ffdnet_gn25,scene1_014_FFDNet_denoised.png,scene1,14,GN,-,25,-,ffdnet,DN,31.075,0.875
scene1_14_cbm3d_rn32,scene1_014_CBM3D.png,scene1,14,RN,-,-,32,cbm3d,DN,28.68,0.802
scene1_14_ffdnet_rn32,scene1_014_FFDNet_denoised.png,scene1,14,RN,-,-,32,ffdnet,DN,4.369,0.152
scene1_15_cbm3d_gn10,scene1_015_CBM3D.png,scene1,15,GN,-,10,-,cbm3d,DN,33.305,0.918
scene1_15_ffdnet_gn10,scene1_015_FFDNet_denoised.png,scene1,15,GN,-,10,-,ffdnet,DN,35.479,0.944
scene1_15_cbm3d_gn25,scene1_015_CBM3D.png,scene1,15,GN,-,25,-,cbm3d,DN,28.861,0.819
scene1_15_ffdnet_gn25,scene1_015_FFDNet_denoised.png,scene1,15,GN,-,25,-,ffdnet,DN,30.924,0.877
scene1_15_cbm3d_rn32,scene1_015_CBM3D.png,scene1,15,RN,-,-,32,cbm3d,DN,28.373,0.794
scene1_15_ffdnet_rn32,scene1_015_FFDNet_denoised.png,scene1,15,RN,-,-,32,ffdnet,DN,4.446,0.152
scene1_14_cbm3d_rn32,scene1_014_CBM3D.png,scene1,14,RN,-,-,32,cbm3d,DN,28.68,0.802
scene1_14_ffdnet_rn32,scene1_014_FFDNet_denoised.png,scene1,14,RN,-,-,32,ffdnet,DN,4.369,0.152
scene1_16_cbm3d_gn10,scene1_016_CBM3D.png,scene1,16,GN,-,10,-,cbm3d,DN,33.12,0.92
scene1_16_ffdnet_gn10,scene1_016_FFDNet_denoised.png,scene1,16,GN,-,10,-,ffdnet,DN,35.314,0.945
scene1_16_cbm3d_gn25,scene1_016_CBM3D.png,scene1,16,GN,-,25,-,cbm3d,DN,28.6,0.814
scene1_16_ffdnet_gn25,scene1_016_FFDNet_denoised.png,scene1,16,GN,-,25,-,ffdnet,DN,30.69,0.877
scene1_16_cbm3d_rn32,scene1_016_CBM3D.png,scene1,16,RN,-,-,32,cbm3d,DN,28.048,0.782
scene1_16_ffdnet_rn32,scene1_016_FFDNet_denoised.png,scene1,16,RN,-,-,32,ffdnet,DN,4.526,0.152
scene1_17_cbm3d_gn10,scene1_017_CBM3D.png,scene1,17,GN,-,10,-,cbm3d,DN,32.916,0.921
scene1_17_ffdnet_gn10,scene1_017_FFDNet_denoised.png,scene1,17,GN,-,10,-,ffdnet,DN,35.151,0.947
scene1_15_cbm3d_gn10,scene1_015_CBM3D.png,scene1,15,GN,-,10,-,cbm3d,DN,33.305,0.918
scene1_15_ffdnet_gn10,scene1_015_FFDNet_denoised.png,scene1,15,GN,-,10,-,ffdnet,DN,35.479,0.944
scene1_17_cbm3d_gn25,scene1_017_CBM3D.png,scene1,17,GN,-,25,-,cbm3d,DN,28.334,0.811
scene1_17_ffdnet_gn25,scene1_017_FFDNet_denoised.png,scene1,17,GN,-,25,-,ffdnet,DN,30.456,0.877
scene1_17_cbm3d_rn32,scene1_017_CBM3D.png,scene1,17,RN,-,-,32,cbm3d,DN,27.797,0.777
scene1_17_ffdnet_rn32,scene1_017_FFDNet_denoised.png,scene1,17,RN,-,-,32,ffdnet,DN,4.573,0.15
scene1_18_cbm3d_gn10,scene1_018_CBM3D.png,scene1,18,GN,-,10,-,cbm3d,DN,32.826,0.923
scene1_18_ffdnet_gn10,scene1_018_FFDNet_denoised.png,scene1,18,GN,-,10,-,ffdnet,DN,35.083,0.949
scene1_18_cbm3d_gn25,scene1_018_CBM3D.png,scene1,18,GN,-,25,-,cbm3d,DN,28.225,0.811
