id,scene,view_id,input_type,scale,sigma,spp,model,task,filename,path,experiment_name
scene1_0_cbm3d_gn10,scene1,0,GN,-,10,-,cbm3d,DN,scene1_000_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_000_CBM3D.png,denoise
scene1_0_ffdnet_gn10,scene1,0,GN,-,10,-,ffdnet,DN,scene1_000_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_000_FFDNet_denoised.png,denoise
scene1_12_cbm3d_gn10,scene1,12,GN,-,10,-,cbm3d,DN,scene1_012_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_012_CBM3D.png,denoise
scene1_12_ffdnet_gn10,scene1,12,GN,-,10,-,ffdnet,DN,scene1_012_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_012_FFDNet_denoised.png,denoise
scene1_0_cbm3d_gn25,scene1,0,GN,-,25,-,cbm3d,DN,scene1_000_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_000_CBM3D.png,denoise
scene1_0_ffdnet_gn25,scene1,0,GN,-,25,-,ffdnet,DN,scene1_000_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_000_FFDNet_denoised.png,denoise
scene1_0_cbm3d_rn32,scene1,0,RN,-,-,32,cbm3d,DN,scene1_000_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_000_CBM3D.png,denoise
scene1_0_ffdnet_rn32,scene1,0,RN,-,-,32,ffdnet,DN,scene1_000_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\render_32spp\scene1_000_FFDNet_denoised.png,denoise
scene1_1_cbm3d_gn10,scene1,1,GN,-,10,-,cbm3d,DN,scene1_001_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_10\scene1_001_CBM3D.png,denoise
scene1_1_ffdnet_gn10,scene1,1,GN,-,10,-,ffdnet,DN,scene1_001_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_10\scene1_001_FFDNet_denoised.png,denoise
scene1_1_cbm3d_gn25,scene1,1,GN,-,25,-,cbm3d,DN,scene1_001_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_001_CBM3D.png,denoise
scene1_1_ffdnet_gn25,scene1,1,GN,-,25,-,ffdnet,DN,scene1_001_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_001_FFDNet_denoised.png,denoise
scene1_12_cbm3d_gn25,scene1,12,GN,-,25,-,cbm3d,DN,scene1_012_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\gaussian_sigma_25\scene1_012_CBM3D.png,denoise
scene1_12_ffdnet_gn25,scene1,12,GN,-,25,-,ffdnet,DN,scene1_012_FFDNet_denoised.png,D:\Dissertation\CNN-based Experiment\results\DN\ffdnet\scene1\gaussian_sigma_25\scene1_012_FFDNet_denoised.png,denoise
scene1_1_cbm3d_rn32,scene1,1,RN,-,-,32,cbm3d,DN,scene1_001_CBM3D.png,D:\Dissertation\CNN-based Experiment\results\DN\cbm3d\scene1\render_32spp\scene1_001_CBM3D.png,denoise
